,Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
16957,37,0.35,2,10000,2,4.0,10000-0,8.698167151381423,377,Bernoulli,SNIPE(2),11.047580400105335,2.3494132487239145,5.519742613279458,0.2701044033570666
16958,38,0.35,2,10000,2,4.0,10000-0,8.698167151381423,377,Bernoulli,Lin's,3.695459278265972,-5.002707873115451,25.02708606373132,-0.5751450605684133
16959,39,0.35,2,10000,2,4.0,10000-0,8.698167151381423,377,Bernoulli,DM,3.509866257428086,-5.188300893953336,26.918466166196986,-0.59648208681864
16965,0,0.35,2,10000,2,0.0,10000-0,8.698167151381423,378,Bernoulli,Reg,7.527011245959063,-1.17115590542236,1.3716061548056675,-0.1346439870652933
16966,1,0.35,2,10000,2,0.0,10000-0,8.698167151381423,378,Bernoulli,VIM,6.327453861360396,-2.370713290021027,5.620281503482322,-0.2725531998594113
16967,2,0.35,2,10000,2,0.0,10000-0,8.698167151381423,378,Bernoulli,SNIPE(2),10.218912534365868,1.5207453829844455,2.3126665198685084,0.1748351527991646
16968,3,0.35,2,10000,2,0.0,10000-0,8.698167151381423,378,Bernoulli,Lin's,3.728207855350012,-4.969959296031411,24.70049540420904,-0.5713800631253785
16969,4,0.35,2,10000,2,0.0,10000-0,8.698167151381423,378,Bernoulli,DM,3.73191112482571,-4.966256026555713,24.66369892130093,-0.5709543102729387
16970,5,0.35,2,10000,2,0.25,10000-0,8.698167151381424,378,Bernoulli,Reg,7.52701124595906,-1.1711559054223644,1.3716061548056782,-0.1346439870652938
16971,6,0.35,2,10000,2,0.25,10000-0,8.698167151381424,378,Bernoulli,VIM,6.270632566113328,-2.4275345852680967,5.892924162672751,-0.2790857594502033
16972,7,0.35,2,10000,2,0.25,10000-0,8.698167151381424,378,Bernoulli,SNIPE(2),10.512956453153322,1.8147893017718968,3.293460209825731,0.2086404262171113
16973,8,0.35,2,10000,2,0.25,10000-0,8.698167151381424,378,Bernoulli,Lin's,3.728207855350013,-4.969959296031412,24.70049540420905,-0.5713800631253785
16974,9,0.35,2,10000,2,0.25,10000-0,8.698167151381424,378,Bernoulli,DM,3.734780575459,-4.963386575922424,24.635206302046928,-0.570624418862099
16975,10,0.35,2,10000,2,0.5,10000-0,8.698167151381424,378,Bernoulli,Reg,7.52701124595906,-1.1711559054223644,1.3716061548056782,-0.1346439870652938
16976,11,0.35,2,10000,2,0.5,10000-0,8.698167151381424,378,Bernoulli,VIM,6.213811270861891,-2.4843558805195336,6.172024141071987,-0.2856183190414975
16977,12,0.35,2,10000,2,0.5,10000-0,8.698167151381424,378,Bernoulli,SNIPE(2),10.80700037194078,2.1088332205593545,4.447177552134739,0.2424456996350586
16978,13,0.35,2,10000,2,0.5,10000-0,8.698167151381424,378,Bernoulli,Lin's,3.728207855350012,-4.969959296031413,24.700495404209057,-0.5713800631253786
16979,14,0.35,2,10000,2,0.5,10000-0,8.698167151381424,378,Bernoulli,DM,3.737650026092288,-4.960517125289137,24.6067301502868,-0.5702945274512594
